Test,Comparison,Year,Sex,Site,County,Cancer,p,Sig,Race
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Melanoma,Polk County,13.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Melanoma,Not Polk,17.2,0.0026 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Melanoma,Polk County,18.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Melanoma,Not Polk,24.9,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Melanoma,Polk County,23.5,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Melanoma,Not Polk,28.5,0.0086 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Melanoma,Polk County,14.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Melanoma,Not Polk,22.8,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Melanoma,Polk County,22.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Melanoma,Not Polk,28.6,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Melanoma,Polk County,27.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Melanoma,Not Polk,32.3,0.0126 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Melanoma,Polk County,19.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Melanoma,Not Polk,26.5,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Melanoma,Polk County,29,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Melanoma,Not Polk,33.5,0.0002 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Melanoma,Polk County,36,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Melanoma,Not Polk,37.2,0.5643 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Melanoma,Polk County,24.5,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Melanoma,Not Polk,31.6,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Oral Cavity and Pharynx,Polk County,11.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Oral Cavity and Pharynx,Not Polk,11.3,0.7363 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Oral Cavity and Pharynx,Polk County,16.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Oral Cavity and Pharynx,Not Polk,17.3,0.8327 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Oral Cavity and Pharynx,Polk County,7.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Oral Cavity and Pharynx,Not Polk,6.1,0.2825 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Oral Cavity and Pharynx,Polk County,11.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Oral Cavity and Pharynx,Not Polk,12.1,0.6336 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Oral Cavity and Pharynx,Polk County,17.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Oral Cavity and Pharynx,Not Polk,18.5,0.4555 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Oral Cavity and Pharynx,Polk County,6.8,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Oral Cavity and Pharynx,Not Polk,6.4,0.6917 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Oral Cavity and Pharynx,Polk County,12.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Oral Cavity and Pharynx,Not Polk,13.7,0.0517 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Oral Cavity and Pharynx,Polk County,19.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Oral Cavity and Pharynx,Not Polk,20.2,0.6047 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Oral Cavity and Pharynx,Polk County,5.8,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Oral Cavity and Pharynx,Not Polk,7.6,0.0293 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Oral Cavity and Pharynx,Polk County,15.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Oral Cavity and Pharynx,Not Polk,14.6,0.3553 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Oral Cavity and Pharynx,Polk County,24.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Oral Cavity and Pharynx,Not Polk,21.8,0.1058 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Oral Cavity and Pharynx,Polk County,7.8,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Oral Cavity and Pharynx,Not Polk,7.8,1.0000 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Digestive,Polk County,38.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Digestive,Not Polk,34.4,0.0125 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Digestive,Polk County,51.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Digestive,Not Polk,44.2,0.0041 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Digestive,Polk County,28.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Digestive,Not Polk,26.4,0.2760 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Digestive,Polk County,39.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Digestive,Not Polk,37.1,0.1370 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Digestive,Polk County,53.5,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Digestive,Not Polk,47.7,0.0236 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Digestive,Polk County,28.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Digestive,Not Polk,28.1,1.0000 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Digestive,Polk County,42.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Digestive,Not Polk,40.3,0.0947 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Digestive,Polk County,54.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Digestive,Not Polk,51.3,0.2240 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Digestive,Polk County,33,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Digestive,Not Polk,30.6,0.1737 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Digestive,Polk County,45.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Digestive,Not Polk,41.2,0.0039 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Digestive,Polk County,58,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Digestive,Not Polk,51.7,0.0081 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Digestive,Polk County,35,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Digestive,Not Polk,31.8,0.0590 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Colon and Rectum,Polk County,52.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Colon and Rectum,Not Polk,55.1,0.1451 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Colon and Rectum,Polk County,61.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Colon and Rectum,Not Polk,62.8,0.7431 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Colon and Rectum,Polk County,45.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Colon and Rectum,Not Polk,48.5,0.2267 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Colon and Rectum,Polk County,44.5,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Colon and Rectum,Not Polk,47.8,0.0462 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Colon and Rectum,Polk County,52.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Colon and Rectum,Not Polk,54.7,0.3599 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Colon and Rectum,Polk County,38.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Colon and Rectum,Not Polk,41.7,0.1725 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Colon and Rectum,Polk County,43.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Colon and Rectum,Not Polk,44.6,0.5758 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Colon and Rectum,Polk County,49.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Colon and Rectum,Not Polk,49.9,0.8007 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Colon and Rectum,Polk County,38.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Colon and Rectum,Not Polk,39.8,0.6109 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Colon and Rectum,Polk County,37.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Colon and Rectum,Not Polk,40.8,0.0086 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Colon and Rectum,Polk County,42.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Colon and Rectum,Not Polk,44.9,0.2318 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Colon and Rectum,Polk County,33,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Colon and Rectum,Not Polk,36.7,0.0375 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Urinary System,Polk County,43.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Urinary System,Not Polk,40.7,0.1030 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Urinary System,Polk County,71.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Urinary System,Not Polk,65.8,0.1001 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Urinary System,Polk County,24,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Urinary System,Not Polk,21.4,0.1111 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Urinary System,Polk County,41.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Urinary System,Not Polk,41.6,0.8352 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Urinary System,Polk County,68,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Urinary System,Not Polk,66.7,0.6971 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Urinary System,Polk County,22.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Urinary System,Not Polk,21.6,0.7604 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Urinary System,Polk County,40.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Urinary System,Not Polk,43,0.1243 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Urinary System,Polk County,64.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Urinary System,Not Polk,67.5,0.2713 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Urinary System,Polk County,23.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Urinary System,Not Polk,22.8,0.7233 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Urinary System,Polk County,44.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Urinary System,Not Polk,44.1,0.7132 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Urinary System,Polk County,70.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Urinary System,Not Polk,67.8,0.3579 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Urinary System,Polk County,24.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Urinary System,Not Polk,24.1,0.8531 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Brain and Nervous System,Polk County,7.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Brain and Nervous System,Not Polk,7.6,0.5751 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Brain and Nervous System,Polk County,9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Brain and Nervous System,Not Polk,8.9,0.9858 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Brain and Nervous System,Polk County,5.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Brain and Nervous System,Not Polk,6.4,0.4203 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Brain and Nervous System,Polk County,8.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Brain and Nervous System,Not Polk,7.4,0.2526 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Brain and Nervous System,Polk County,9.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Brain and Nervous System,Not Polk,8.6,0.6219 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Brain and Nervous System,Polk County,7.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Brain and Nervous System,Not Polk,6.4,0.3582 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Brain and Nervous System,Polk County,7.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Brain and Nervous System,Not Polk,7.2,1.0000 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Brain and Nervous System,Polk County,8.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Brain and Nervous System,Not Polk,8,0.7709 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Brain and Nervous System,Polk County,6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Brain and Nervous System,Not Polk,6.4,0.7069 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Brain and Nervous System,Polk County,6.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Brain and Nervous System,Not Polk,6.7,0.5447 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Brain and Nervous System,Polk County,6.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Brain and Nervous System,Not Polk,7.9,0.1297 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Brain and Nervous System,Polk County,6.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Brain and Nervous System,Not Polk,5.5,0.4452 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Endocrine,Polk County,11.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Endocrine,Not Polk,10.8,0.7368 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Endocrine,Polk County,6.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Endocrine,Not Polk,6.4,0.8809 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Endocrine,Polk County,15.8,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Endocrine,Not Polk,15.3,0.7336 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Endocrine,Polk County,12.5,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Endocrine,Not Polk,14.6,0.0176 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Endocrine,Polk County,8.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Endocrine,Not Polk,8,0.5026 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Endocrine,Polk County,16.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Endocrine,Not Polk,21.3,0.0006 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Endocrine,Polk County,13,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Endocrine,Not Polk,15.7,0.0017 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Endocrine,Polk County,7.8,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Endocrine,Not Polk,8.7,0.3787 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Endocrine,Polk County,18.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Endocrine,Not Polk,23,0.0015 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Endocrine,Polk County,14.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Endocrine,Not Polk,14.9,1.0000 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Endocrine,Polk County,8.5,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Endocrine,Not Polk,8.9,0.6965 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Endocrine,Polk County,21.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Endocrine,Not Polk,21.1,0.9218 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Lymphoma,Polk County,24.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Lymphoma,Not Polk,24.5,0.7673 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Lymphoma,Polk County,29.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Lymphoma,Not Polk,28.7,0.6921 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Lymphoma,Polk County,21,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Lymphoma,Not Polk,21.1,1.0000 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Lymphoma,Polk County,24.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Lymphoma,Not Polk,25.8,0.2454 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Lymphoma,Polk County,29.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Lymphoma,Not Polk,31,0.5984 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Lymphoma,Polk County,20.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Lymphoma,Not Polk,21.4,0.4629 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Lymphoma,Polk County,23.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Lymphoma,Not Polk,24.8,0.1574 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Lymphoma,Polk County,29.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Lymphoma,Not Polk,29.7,0.7894 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Lymphoma,Polk County,18.5,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Lymphoma,Not Polk,20.6,0.1314 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Lymphoma,Polk County,25.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Lymphoma,Not Polk,24.1,0.2551 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Lymphoma,Polk County,28.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Lymphoma,Not Polk,29,0.6751 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Lymphoma,Polk County,22.8,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Lymphoma,Not Polk,19.9,0.0348 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Leukemia,Polk County,13.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Leukemia,Not Polk,16.3,0.0077 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Leukemia,Polk County,17.5,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Leukemia,Not Polk,21.3,0.0311 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Leukemia,Polk County,11,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Leukemia,Not Polk,12.6,0.1841 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Leukemia,Polk County,17.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Leukemia,Not Polk,16.4,0.4061 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Leukemia,Polk County,21.5,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Leukemia,Not Polk,20.9,0.7598 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Leukemia,Polk County,14.1,,0,All
